1	LFZ Admin	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	1
2	Enterprise Admin	1	2019-12-16 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	1
3	Enterprise Group Admin	1	2020-06-04 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	1
4	LFZ Security	1	2020-06-04 00:00:00	--SchemaZenNull--	--SchemaZenNull--	True	1
