50	LSD 847 XW	6	6	42	2021-06-29 16:40:10.11	--SchemaZenNull--	2021-06-29 16:40:10.11	True
51	LAR 655 YD	6	3	42	2021-06-30 11:20:14.37	--SchemaZenNull--	2021-06-30 11:20:14.37	True
52	KTU 733 XX	6	3	42	2021-06-30 15:13:44.113	--SchemaZenNull--	2021-06-30 15:13:44.113	True
53	AAB 03 YJ	6	3	42	2021-06-30 15:16:29.673	--SchemaZenNull--	2021-06-30 15:16:29.673	True
54	BSD 106 XA	6	3	42	2021-07-07 19:04:46.347	--SchemaZenNull--	2021-07-07 19:04:46.347	True
55	BDS 106 XA	6	3	42	2021-07-07 19:05:40.653	--SchemaZenNull--	2021-07-07 19:05:40.653	True
56	T8015LA	6	3	42	2021-07-07 19:07:11.083	--SchemaZenNull--	2021-07-07 19:07:11.083	True
57	KTU 728 YC	6	3	42	2021-07-07 19:07:41.8	--SchemaZenNull--	2021-07-07 19:07:41.8	True
58	FKJ 809 XS	6	3	42	2021-07-07 19:08:08.07	--SchemaZenNull--	2021-07-07 19:08:08.07	True
59	BDG 125 XZ	6	3	42	2021-07-07 19:08:48.27	--SchemaZenNull--	2021-07-07 19:08:48.27	True
60	SMK 498 XX	6	3	42	2021-07-07 19:09:17.44	--SchemaZenNull--	2021-07-07 19:09:17.44	True
61	XW 558 ENU	6	3	42	2021-07-07 19:09:41.55	--SchemaZenNull--	2021-07-07 19:09:41.55	True
62	LSR 899 XQ	6	3	42	2021-07-07 19:10:10.953	--SchemaZenNull--	2021-07-07 19:10:10.953	True
63	FKJ 434 XK	6	3	42	2021-07-07 19:10:37.033	--SchemaZenNull--	2021-07-07 19:10:37.033	True
64	TTT 196 ZY	6	3	42	2021-07-07 19:10:57.063	--SchemaZenNull--	2021-07-07 19:10:57.063	True
65	AKD182XZ	5	6	56	2021-07-13 12:23:28.15	--SchemaZenNull--	2021-07-13 12:23:28.15	True
66	BEN700ZY	3	6	56	2021-07-13 12:26:01.517	--SchemaZenNull--	2021-07-13 12:26:01.517	True
67	LND971XD	3	6	56	2021-07-13 12:31:36.187	--SchemaZenNull--	2021-07-13 12:31:36.187	True
68	TTD369YA	4	6	56	2021-07-13 12:39:45.097	--SchemaZenNull--	2021-07-13 12:39:45.097	True
69	SLK982XA	3	6	56	2021-07-13 13:07:11.62	--SchemaZenNull--	2021-07-13 13:07:11.62	True
70	AAA767XH	4	6	56	2021-07-13 13:36:30.253	--SchemaZenNull--	2021-07-13 13:36:30.253	True
71	KSF391XU	4	6	56	2021-07-13 13:50:38.37	--SchemaZenNull--	2021-07-13 13:50:38.37	True
72	KTU953YA	3	1	56	2021-07-13 14:00:41.79	--SchemaZenNull--	2021-07-13 14:00:41.79	True
73	TTD331YA	4	6	56	2021-07-13 14:05:33.46	--SchemaZenNull--	2021-07-13 14:05:33.46	True
74	FST03YC	4	6	56	2021-07-13 14:33:00.217	--SchemaZenNull--	2021-07-13 14:33:00.217	True
75	FST833XF	4	6	56	2021-07-13 14:39:11.873	--SchemaZenNull--	2021-07-13 14:39:11.873	True
76	EKY714XH	4	6	56	2021-07-13 14:48:47.827	--SchemaZenNull--	2021-07-13 14:48:47.827	True
77	AGL672XD	4	6	56	2021-07-13 15:11:51.03	--SchemaZenNull--	2021-07-13 15:11:51.03	True
78	SRA972XA	4	6	56	2021-07-13 15:32:14.99	--SchemaZenNull--	2021-07-13 15:32:14.99	True
79	EPE533XH	3	1	56	2021-07-13 15:35:09.6	--SchemaZenNull--	2021-07-13 15:35:09.6	True
80	SRA949XA	4	6	56	2021-07-13 15:36:33.307	--SchemaZenNull--	2021-07-13 15:36:33.307	True
81	TTD335YA	4	6	56	2021-07-13 15:38:27.773	--SchemaZenNull--	2021-07-13 15:38:27.773	True
82	SRA946XA	4	6	56	2021-07-13 15:52:18.253	--SchemaZenNull--	2021-07-13 15:52:18.253	True
83	TTD351YA	4	6	56	2021-07-13 16:07:07.663	--SchemaZenNull--	2021-07-13 16:07:07.663	True
84	AKD187YA	3	1	56	2021-07-13 16:12:16.943	--SchemaZenNull--	2021-07-13 16:12:16.943	True
85	APP333XF	4	6	56	2021-07-13 16:14:05.05	--SchemaZenNull--	2021-07-13 16:14:05.05	True
86	KJA610XJ	4	6	56	2021-07-13 16:15:41.613	--SchemaZenNull--	2021-07-13 16:15:41.613	True
