1	INV/KT/2021021	2	1	300.00	30.00	2021-02-10 01:20:05.68	637485330058416725.pdf	1	2021-02-10 01:20:05.68	--SchemaZenNull--	2021-02-10 01:20:05.68	True
2	INV/RAFFLES/2021021	3	2	900.00	90.00	2021-02-10 01:20:23.793	637485330238679628.pdf	1	2021-02-10 01:20:23.793	--SchemaZenNull--	2021-02-10 01:20:23.793	True
3	INV/BHN/2021021	4	1	600.00	60.00	2021-02-10 01:20:37.977	637485330380456492.pdf	1	2021-02-10 01:20:37.977	--SchemaZenNull--	2021-02-10 01:20:37.977	True
4	INV/TGARLA/2021021	5	1	600.00	0.00	2021-02-10 01:21:08.66	637485330687388543.pdf	1	2021-02-10 01:21:08.66	--SchemaZenNull--	2021-02-10 01:21:08.66	True
5	INV/KT/2021022	2	1	300.00	0.00	2021-02-10 01:27:24.5	637485334446268530.pdf	1	2021-02-10 01:27:24.5	--SchemaZenNull--	2021-02-10 01:27:24.5	True
7	INV/RAFFLES/2021041	3	2	900.00	30.00	2021-04-08 06:45:50.58	637534773507663311.pdf	1	2021-04-08 06:45:50.58	--SchemaZenNull--	2021-04-08 06:45:50.58	True
11	INV/INSIGNIA/2021041	6	1	300.00	0.00	2021-04-08 11:20:21.037	637534938220676468.pdf	1	2021-04-08 11:20:21.037	--SchemaZenNull--	2021-04-08 11:20:21.037	True
12	INV/KT/2021041	2	1	600.00	60.00	2021-04-23 04:05:33.473	637547637347012284.pdf	1	2021-04-23 04:05:33.473	--SchemaZenNull--	2021-04-23 04:05:33.473	True
13	INV/KT/2021042	2	1	600.00	60.00	2021-04-23 14:21:45.773	637548007068984560.pdf	1	2021-04-23 14:21:45.773	--SchemaZenNull--	2021-04-23 14:21:45.773	True
